"ROI Name","Slice Number","X position","Y position","Mean 10mm","Mean 13mm","Mean 17mm","Mean 22mm","Mean 28mm","Mean 37mm"
"Negative Sphere 1","36","246.57251849776094","191.06451851931689","2377.1450582278476","2395.952569009009","2454.0334560804017","2623.6110605277045","2900.4470891410047","3553.5287735834158"
"Negative Sphere 2","36","303.65233448732977","190.56478955378952","3159.0020640506327","3207.5828189565218","3347.3716636453191","3778.8656090624995","4543.1022667857142","6200.802772752204"
"Positive Sphere 1","36","330.97412199630315","241.30868761552679","126346.04416857148","123345.98445600002","114599.93654339999","93567.638213368686","71488.436806101134","51007.928693188551"
"Positive Sphere 2","36","301.72303206997083","290.56559766763849","123853.55080864197","115279.36138591303","97088.706375742564","70031.310684816752","51603.077984943455","37662.54946896281"
"Positive Sphere 3","36","244.643216080402","291.06532663316585","92062.883575384607","82784.090920535717","65337.144556517414","46320.910537989417","35150.14974214285","27312.672561970441"
"Positive Sphere 4","36","217.32142857142858","240.32142857142858","50225.185758271597","45752.739793275869","37278.666654029854","28790.813285916236","24088.234458928571","20719.734832714843"
"Background 1","36","269.50959310820349","324.29786807430349","14287.82169375","14391.368258793105","14483.629486732674","14537.62359227154","14706.928020714286","15021.882220235755"
"Background 2","36","211.64421417767295","317.28835099228155","16022.00384125","16074.859004695652","16111.166056716416","16091.364961148825","15984.399015954692","15806.965527031251"
"Background 3","36","179.46859622871759","298.04193922496626","15808.101424499997","15789.309389729728","15680.669846666664","15550.782897044855","15558.023264130084","15675.348345832512"
"Background 4","36","161.63170728662487","265.57390789968179","15545.335011250001","15597.338473391303","15693.58435694581","15885.117993593749","16123.096227512193","16313.592343326811"
"Background 5","36","170.98921028093284","229.02514620770407","15306.046533066665","15381.91823369369","15592.947480000001","15774.722998026666","15858.481895384615","15956.920993982123"
"Background 6","36","192.19886701170853","197.3520677893581","15915.188668499997","15947.844991964283","16013.478044158415","16084.011614232802","16029.319779837924","15864.154943870333"
"Background 7","36","219.09084363844011","171.07586959063769","16342.088507105265","16198.303603539822","15989.494710845771","15660.346491926121","15292.922801538463","14775.434636597836"
"Background 8","36","272.53241694757349","159.6387410745491","16978.864475128208","16925.651827652175","16830.59021448276","16670.196190339422","16456.339091428574","16129.581772810971"
"Background 9","36","343.8044943004428","184.76957381527748","15940.261928354432","15968.974024601768","16043.833159900498","16140.652681421052","16222.506218928571","16260.2936675368"
"Background 10","36","384.23107276243394","263.69237322538015","16063.812123333337","15980.22284654867","15865.966938712869","15770.047917097625","15749.857749644012","15747.122258426743"
"Background 11","36","375.33544884034063","299.73133576431894","15873.091325063288","15811.242440172411","15735.243437524754","15533.940781256544","15413.939590081038","15371.419127286972"
"Background 12","36","345.56636576935051","321.62430928760608","13961.566937721516","14118.633595478259","14367.720844334974","14847.256865260415","15199.35284123577","15425.786052113501"
